Speaker,Text
Dato' Seri Haji Mukhriz Tun Dr. Mahathir [Jerlun],"minta Menteri Pelancongan, Seni dan Budaya menyatakan usaha untuk mempromosi tarikan pelancongan di negeri-negeri, khususnya yang berkaitan dengan alam semula jadi, contohnya hutan simpan, gunung, gua dan jeram yang terdapat di kawasan pedalaman negeri. Bagaimana negerinegeri yang di luar “laluan pelancongan” mendapat manfaat daripada Tahun Melawat Malaysia 2020. "
"Menteri Pelancongan, Seni dan Budaya [Datuk Mohamaddin bin Ketapi]","Bismillahi rahmani rahim, assalamualaikum warahmatullahi wabarakatuh. Terima kasih Tuan Yang di-Pertua. Untuk makluman Ahli Yang Berhormat, kementerian melalui Tourism Malaysia aktif dalam mempromosikan destinasi dan produk-produk pelancongan yang menarik, baharu dan masih belum diterokai termasuklah segmen pelancongan alam semula jadi. Antara promosi yang dilaksanakan turut meliputi promosi antarabangsa melalui penyertaan pameran pelancongan dan aktiviti promosi oleh pejabat Tourism Malaysia di luar negara. Tourism Malaysia turut menjemput negerinegeri untuk mempromosikan dan memperkenalkan produk pelancongan yang baharu dan unik untuk di promosi dan dipakejkan dengan pengusaha pelancongan di dalam dan luar negara.   Tuan Yang di-Pertua, sebagai sebuah negara yang kaya dengan keindahan alam semula jadi yang sebahagian besarnya berkedudukan di kawasan pedalaman dan di luar laluan pelancongan biasa. Kementerian Pelancongan, Seni dan Budaya telah merangka Pelan Ekopelancongan Kebangsaan 2016-2025 sebagai hala tuju dalam memperkukuhkan pembangunan segmen ekopelancongan dan memastikan kelestarian produk ekopelancongan di seluruh negara.   Sememangnya menjadi misi dan visi kementerian ini memastikan tiada negeri atau kawasan pelancongan yang terpinggir daripada inisiatif promosi pelancongan termasuk segmen pelancongan unik bagi negeri-negeri di luar laluan pelancongan biasa atau off the beaten track agar turut mendapat faedah dan manfaat daripada industri ini khususnya sempena Tahun Melawat Malaysia 2020.  Antara segmen yang diketengahkan adalah seperti bird watching yang terdapat di Kuala Gula Bird Sanctuary di Perak, Timah Tasoh Dam di Taman Negeri Perlis, Teluk Air Tawar Pulau Pinang, Panti Bird Sanctuary Johor dan Fraser Hill. Segmen abseiling dan wild water rafting juga dipromosikan dengan pakej-pakej khas oleh pengusaha-pengusaha pelancongan tempatan. Contohnya di Ulu Geruntum Gopeng bagi menambah nilai kepada pakej pelancongan ini, aktiviti caving di Gua Tempurung turut ditawarkan.  Selain itu produk minat khas angling memancing khususnya di laut dalam turut merupakan tarikan bagi pelancong asing untuk datang ke destinasi yang dianggap off the beaten track. Pelancongan sukan memancing ini mempunyai nilai faedah yang tinggi dan lestari (high value and sustainable touristic activity) di mana pelancong-pelancong ini berbelanja lebih tinggi berbanding dengan pelancong biasa. Ia turut menyumbang kepada pendapatan nelayan, tempatan melalui penyewaan bot dan lain-lain perbelanjaan kepada penduduk setempat. Terima kasih."
Dato' Seri Haji Mukhriz Tun Dr. Mahathir [Jerlun],"Saya mengucapkan jutaan terima kasih kepada Yang Berhormat Menteri di atas jawapan tersebut. Soalan tambahan saya ialah walaupun hutan merupakan sumber hasil pendapatan bagi kerajaan negeri dan pengusaha, contohnya melalui aktiviti pembalakan dan sebagainya, Kedah sangat prihatin soal kelestarian alam sekitar. Apakah bentuk bantuan yang boleh disalurkan kepada pihak swasta untuk membangunkan produk-produk pelancongan supaya kalau pun tidak dapat mengganti hasil yang boleh diperoleh daripada pembalakan contohnya, kurang-kurang dapat memberi hasil yang setimpal kepada pengusaha dan kerajaan negeri. "
"Menteri Pelancongan, Seni dan Budaya [Datuk Mohamaddin bin Ketapi]","Tuan Yang di-Pertua. Untuk menjawab soalan tambahan iaitu berhubung bantuan acara bagi Tahun Melawat Malaysia 2020. Bagi menggalakkan penganjuran acara-acara pelancongan dan budaya yang unik di setiap negeri termasuk di luar laluan pelancong biasa khususnya bersempena Tahun Melawat Malaysia 2020, kementerian ini akan terus menerima dan menilai permohonanpermohonan oleh para penganjur dan acara yang dinilai terutamanya impak program sebelum kerjasama dilaksanakan melalui bantuan kewangan ataupun bantuan lain seperti bantuan logistik dan fasilitasi, di samping membantu dari segi promosi dan hebahan acara pelancongan. Adakah ini menjawab soalan Yang Berhormat? Kalau tidak, saya add-up lagi sedikit. "
Dato’ Seri Haji Mukhriz Tun Dr. Mahathir [Jerlun],"Maksud saya mengenai pembangunan Yang Berhormat Menteri, bukan promosi itu tetapi pembangunan yang boleh membantu pengusaha-pengusaha membangunkan kawasan-kawasan pelancongan di hutan."
"Menteri Pelancongan, Seni dan Budaya [Datuk Mohamaddin bin Ketapi]","Yang Berhormat, kita memang ada rancangan untuk membantu pengusaha-pengusaha bagi kegiatan pelancongan. Saya yang sebetulnya telah menyokong– di samping menyokong levy departure. Saya menyokong levy departure dengan syarat dia, sekurang-kurangnya kalau dapat duit daripada levy departure ini, kita akan dapat membantu seperti Yang Berhormat Jerlun kemukakan tadi. Ini yang sebetulnya bukan sahaja di kawasan Yang Berhormat, kawasan-kawasan yang lain juga. Jadi, mudah-mudahan ini akan menjadi kenyataan dan dapatlah kementerian ini membantu keperluan-keperluan seperti yang dikemukakan oleh Yang Berhormat. Sekian, terima kasih. "
Tuan Yang di-Pertua,Soalan tambahan. 
Tuan Yusuf bin Abd Wahab [Tanjong Manis],"Tanjong Manis, Tanjong Manis. "
Dato’ Jalaluddin bin Alias [Jelebu],Jelebu. 
Tuan Yusuf bin Abd Wahab [Tanjong Manis],"Tanjong Manis. Tuan Yang diPertua, Tanjong Manis. "
Dato’ Jalaluddin bin Alias [Jelebu],Jelebu. Hutan lipur banyak di Jelebu.
Tuan Yusuf bin Abd Wahab [Tanjong Manis],"Tanjong Manis. Tuan Yang diPertua, Tanjong Manis. Sarawak dan angkat tadi Tuan Yang di-Pertua. "
Dato’ Jalaluddin bin Alias [Jelebu],Hutan lipur ni banyak di Jelebu. 
Tuan Yang di-Pertua,Saya ingat... 
Dato’ Jalaluddin bin Alias [Jelebu],"Terima kasih Tuan Yang di-Pertua. Dia kadang-kadang-kadang doa dengan Tuan Yang di-Pertua ini, saya selalu doakan Tuan Yang di-Pertua. Kadang-kadang itu doa ini makbul Tuan Yang di-Pertua. "
Tuan Yang di-Pertua,Silakan Yang Berhormat Jelebu. 
Dato’ Jalaluddin bin Alias [Jelebu]," Saya hendak minta pihak kementerian berikan penjelasan, kita ada – selaras dengan pertanyaan Yang Berhormat Jerlun tadi, kita ada banyak tempat hutan lipur yang di luar laluan ini, terutamanya di kawasankawasan luar bandar yang menjadi perhatian kepada pelancong-pelancong domestik. Cumanya, suka atau tidak, kita kena terima hakikat bahawa pengurusan hutan lipur ini hampir 60 ke 70 peratus tidak diurus dengan baik. Dalam soal keselamatan, dalam soal infrastruktur, dalam soal keselesaan dan soal pelbagai. Soalan saya Tuan Yang di-Pertua, adakah pihak kementerian ada perancangan bersama dengan kerajaan negeri untuk outsource-kan pengurusan hutan lipur ini supaya pengurusannya menjadi lebih baik dan memberikan kesejahteraan kepada pengunjung-pengunjung terutamanya domestik dan luar negara? Terima kasih Tuan Yang di-Pertua."
"Menteri Pelancongan, Seni dan Budaya [Datuk Mohamaddin bin Ketapi]","Terima kasih Tuan Yang di-Pertua, saya melihat tadi ramai Ahli Yang Berhormat ingin mengemukakan soalan tambahan dan saya minta kepada Ahli-ahli Yang Berhormat untuk menulis surat kepada saya. Ini yang banyak yang mengemukakan tadi yang berdiri. Ahli Yang Berhormat yang mengemukakan soalan, saya jawab sekarang. Akan tetapi yang tidak sempat mengemukakan soalan tadi, tulis surat kepada saya dan saya akan menjawab. "
Tuan Yang di-Pertua,Cadangan yang baik. Tuan Yang di-Pertua pun menyokong. 
Dato’ Jalaluddin bin Alias [Jelebu],"Terima kasih Yang Berhormat Menteri, surat akan sampai. "
Tuan Abdul Latiff bin Abdul Rahman [Kuala Krai],"Tahniah Yang Berhormat Menteri, tahniah. Saya akan tulis surat."
"Menteri Pelancongan, Seni dan Budaya [Datuk Mohamaddin bin Ketapi]",Saya tak nak... 
Dato’ Seri Dr. Shahidan bin Kassim [Arau],"Tahniah Yang Berhormat Menteri, tahniah. "
"Menteri Pelancongan, Seni dan Budaya [Datuk Mohamaddin bin Ketapi]",Saya tak nak Ahli-ahli Yang Berhormat ini rugi berdiri mengemukakan soalan tetapi tidak dapat jawapan. 
Tuan Abdul Latiff bin Abdul Rahman [Kuala Krai],Ini baru betul Yang Berhormat Menteri. 
